question_id,question
Q03942,do you want their physical location
Q03943,do you want to know who runs the agency
Q03944,are you wanting california franchise tax board forms
Q03945,were you wanting to see the emblem/logo for the california franchise tax board
Q03946,are you looking for example letters pertaining to the california franchise tax board
Q03947,"do you want to see pictures of traverse city, michigan"
Q03948,do you want to find traverse city hotels
Q03949,are you interested in see the national cherry festival in traverse city
Q03950,would you like to see images of traverse city
Q03951,would you like to see maps
Q03952,do you want to see traverse city attractions
Q03953,do you want to know the countries involved in american revolutionary war
Q03954,are you interested in the important battles of american revolutonary war
Q03955,do you want see the weapons used in american revoultionary war
Q03956,would you like to see soldiers
Q03957,would you like to see a map
Q03958,would you like to see the leaders
Q03959,are you wanting to see the marshall county schools new buses
Q03960,did you want to see marshall county high school
Q03961,were you looking for marshall county schools maps
Q03962,would you like to see a map of marshall county
Q03963,would you like to see marshall county school logos
Q03964,would you like to see the schools
Q03965,are you wanting to see the cast for the new bewitched movie
Q03966,would you like to see black and white photos for the bewitched cast
Q03967,do you want to see images of samantha from the original bewitched tv series
Q03968,did you want to see pictures of the cast from the bewitched television show
Q03969,are you interested in the cast of the bewitched movie
Q03970,would you like to know about bewitched cast changes
Q03971,are you interested in older nicolas cage movies
Q03972,are you interested in award winning nicolas cage movies
Q03973,are you interested in nicolas cage movies from the 2020s
Q03974,are you interested in a list of the top movies for nicolas cage
Q03975,would you like to know where you find nicolas cage movies to rent or stream
Q03976,what body part do you want to excercise
Q03977,do you want to see the bowflex power pro manual
Q03978,are you interested in buying a used bowflex power pro
Q03979,would you like the know the type of workouts that can be done on a bowflex power pro
Q03980,would you like to know how to assemble the bowflex power pro
Q03981,are you intersted in bowflex power pro xtl or leg attachment
Q03982,do you want to see pictures of the sun
Q03983,are you looking for the newspaper the sun
Q03984,do you want to see where the sun is located in the universe
Q03985,do you want to see sun flares
Q03986,did you mean the sun as in the magazine
Q03987,are you interested in seeing the sun in the sky
Q03988,are you wanting arts and crafts projects for earth day
Q03989,are you wanting ways to help make a difference on earth day
Q03990,do you want to see earth day inforgraphics
Q03991,do you want to know who invented the technology behind recorded music
Q03992,would you like to know about the creation of soul music
Q03993,do you want to know about the invention of music notation
Q03994,what genre of music would you like to know the history of
Q03995,would you like to know the history behind who invented different types of guitars
Q03996,what type of musical instrument would you like to learn about
Q03997,would you like to see infographics regarding the educational advantages of social networking sites
Q03998,would you also like to know the disadvantages of social networking sites
Q03999,would you like to see some kid safe social networking sites
Q04000,do you want to see the benefits of social media sites
Q04001,do you want to also see the disadvantages of social media
Q04002,do you want to see the most beneficial social media platforms to use
Q04003,would you like to know the difference between a 401k and a 403b
Q04004,would you like to know fees associated with a 403b
Q04005,are you interested in other retirement savings plans
Q04006,would you like to know about roth iras
Q04007,are you interested in 403(b) contriburtion limits
Q04008,are you wanting information on forms for 403(b)
Q04009,are you interested in universal animal cuts reviews concerns
Q04010,are you looking for universal animal cuts reviews that are recent
Q04011,which year are you interested in
Q04012,do you want to see reviews that show the before and after
Q04013,do you want to see a bunch of car parts
Q04014,which car parts are you referring to
Q04015,do you want to see places that caryy car parts
Q04016,would you like to see examples of parts
Q04017,would you like to see used tires
Q04018,would you like to see photos of used stereo systems
Q04019,are you interested in the moon titan
Q04020,do you want to see images of the titan beetle
Q04021,would you like to see the nissan titan
Q04022,are you looking for more about saturn's moon titan
Q04023,did you want to know about the greek titans
Q04024,would you like to see pictures related to the tennesse titans team
Q04025,would you like to know about residential septic system designs
Q04026,are you interested in leech field septic system designs
Q04027,would you like information on the design of the septic tank
Q04028,would you like to see images of septic system design
Q04029,would you like to know the cost for a septic system design
Q04030,do you want to know how large a septic system you will need based on the number of rooms
Q04031,are you wanting to see the commanding officer for the uss cole
Q04032,are you wanting information regarding the uss cole bombing victims
Q04033,were you wanting to see photos of the uss cole bombing damage
Q04034,would you like to see photos of the uss cole
Q04035,would you like to see photos of the bombing of the uss cole
Q04036,would you like to see the victims of the bombing
Q04037,are you interested in how to set up a wilson antenna
Q04038,are you interested in purchasing a wilson antenna
Q04039,are you interested in the parts of a wilson antenna
Q04040,are you interested in the antennas on mt. wilson
Q04041,"would you like to know about the wilson 500, 1000, 5000 or something else"
Q04042,would you like information on wilson antenna booster
Q04043,do you want to compare this with a gable roof
Q04044,are you interested in modern hip roofs
Q04045,do you want to know about the framing of a hip roof
Q04046,are you wanting to see different roof types
Q04047,do you want images of hip roofs on houses
Q04048,would you like to see sheds with hip roofs
Q04049,are you looking for relief for pain in joints
Q04050,are you interested in causes of pain in joints
Q04051,are you looking doctors who specialize in joints
Q04052,are you wanting to see pictures of human joints
Q04053,are you referring to marijuana joints
Q04054,did you want more information on joint health
Q04055,would you like to know about sat scoreing
Q04056,would you like information on preparing for a sat test
Q04057,would you sat statistics and demographics
Q04058,are you referring to the sat test
Q04059,would you like to see people taking the sat test
Q04060,are you interested in sat test information
Q04061,do you want to learn about the history of the usda food pyramid
Q04062,do you want to see images of the usda food pyramid
Q04063,do you want to see the guidelines of the food pyramid
Q04064,would you like to see what the pyramid looks like
Q04065,would you like to see fruit ideas
Q04066,would you like to see vegetable ideas
Q04067,are you interested in pvc pipes
Q04068,do you want to see pvc ceiling tiles
Q04069,are you looking for a pvc body suit
Q04070,would you like to see different sizes
Q04071,would you like to see the different colors
Q04072,would you like to see end pieces
Q04073,are you trying to find more information on the application process for the iowa food stamp program
Q04074,are you wanting to see imges of the iowa food stamps ebt card
Q04075,are you looking for more information regarding statistics about the iowa food stamps program
Q04076,do you want to see how to apply to the iowa food stamp program
Q04077,do you want to see what makes someone eligible for the iowa food stamp program
Q04078,do you want to see what the iowa food stamp card could look like
Q04079,are you looking for home furniture for small spaces
Q04080,do you want furniture for small spaces for an office
Q04081,are you interested for furniture for small spaces in a bedroom
Q04082,"what specific furniture are you looking for? chairs, tables, etc."
Q04083,would you like a table
Q04084,would you like a couch
Q04085,photos of the bart sf airport
Q04086,photos of the bart water tunnel
Q04087,do you want to use the bart system on a weekday or weekend
Q04088,what transit center will you be travelling from
Q04089,are you interested in the location of adobe indian houses
Q04090,are you interested in how to construct an adobe indian house
Q04091,are you looking for modern adobde indian house
Q04092,do you want to see pueblo adobe houses
Q04093,would you like to see images for the hopi house
Q04094,are you interested in the construction process for adobe indian houses
Q04095,do you want to know how to treat ocd
Q04096,do you want to know what are the classic symtoms od ocd
Q04097,what are the tests that evaluetate if you have ocd
Q04098,would you like to know what ocd is
Q04099,do you want to see words relating to ocd
Q04100,are you interested in ocd facts
Q04101,would you like information about sustainable farming
Q04102,do you want to know about the fickle creek farm store
Q04103,are you interested in information about efland
Q04104,would you like to see pictures of the farm
Q04105,would you like to see produce
Q04106,would you like to see animals
Q04107,would you like to see photos of the hp mini 2140
Q04108,would you like to see photos of the hp mini 2140 battery
Q04109,would you like to see the hp 2140 charger
Q04110,are you looking for the battery of a hp mini 2140
Q04111,would you like to see the ac charger for the hp mini 2140
Q04112,are you looking for a fan replacement for a hp mini 2140
Q04113,are you looking for sonoma county medical services locations
Q04114,are you interested in sonoma county medical services that take medicaid
Q04115,are you looking for sonoma county medical services for children
Q04116,are you looking for emergency services for sonoma county medical services
Q04117,are you interested in medical services available in sonoma county
Q04118,are you interested in sonoma county medical facilities
Q04119,are you interested in seeing what a healthy horse hoof looks like
Q04120,are you interested in differences in hooves between horses
Q04121,are you wanting to see what overgrown horse hooves look like
Q04122,would you like to see photos of horse's hooves
Q04123,would you like to see overgrown hooves
Q04124,would you like to see hoove anatomy
Q04125,are you interested in government offcials from cass county missouri
Q04126,are you interested in the history of cass county missouri
Q04127,are you looking for things to do in cass county missouri
Q04128,do you want to see a map
Q04129,do you want to see the fair
Q04130,do you want to see their churches
Q04131,are you looking for poems for poem in your pocket day
Q04132,are you looking for the history of poem in your pocket day
Q04133,are you looking for where poem in your pocket day takes place
Q04134,would you like me to share three ways to celebrate poem in your pocket day
Q04135,would you like to hear some interesting facts about poem in your pocket day
Q04136,can i share three short poems you might like for poem in your pocket day
Q04137,are you interested in what the sit and reach test measures
Q04138,are you interested in how to improve your sit and reach test results
Q04139,are you interested in measuring for a sit and reach test
Q04140,do you want to know the correct body position for the sit and reach test
Q04141,do you want to know what the measurment of the sit and reach test results mean based on your height
Q04142,would you like to know different ways for elderly persons to take the sit and reach test
Q04143,do you want to see a rotten kiwi
Q04144,do you want to see a kiwi tree
Q04145,do you want to see kiwi recipes
Q04146,do you want to know what nutrients are in kiwi
Q04147,are you interested in how to prepare kiwis
Q04148,would you like to see a list of all the things that are called kiwi
Q04149,are you interested in different species of worm
Q04150,are you looking for information about the lifecycle of worms
Q04151,are you looking for information of the mating habits of worms
Q04152,"are you interested in cartoon worms, worms in the ground, or worms in the human body"
Q04153,"are you interested in flat worms, segmented worms, or roundworms"
Q04154,are you interested in the length of worms
Q04155,are you looking for the unique animals of madagascar
Q04156,are you interested in the history of madagascar
Q04157,do you want to hear about popular destinations in madagascar
Q04158,do you want to see the main madagascar tourist attractions
Q04159,do you want to know the 10 top facts about madagascar
Q04160,do you want to know about wildlife in madagascar
Q04161,are you interested in sun tzu's life
Q04162,are you looking for the writings of sun tzu
Q04163,are you looking for sun tzu's influence
Q04164,would you like to see some quotes by sun tzu
Q04165,are you interested in knowing about people influenced by sun tzu
Q04166,do you want to research the chinese eras that used sun tzu's book
Q04167,do you want to see pictures of different species penguins
Q04168,do you want to know where penguins live
Q04169,do you want to see young penguins
Q04170,would you like to see baby penguins
Q04171,would you like to see different penguin types
Q04172,would you like to see penguin teeth
Q04173,which band member of the beatles is your favorite
Q04174,would you like to hear the top three songs by the beatles
Q04175,"are you interested in seeing singer of the beatles, paul mccartney, perform live on his ""got back"" tour"
Q04176,"do you want to know about the beatles rock band game on the wii, the playstation, or xbox"
Q04177,are you interested in seeing in-game images from the beatles rock band video game
Q04178,would you like to know the song tracks featured on the beatles rock band video game
Q04179,are inforgraphics on uranus acceptable
Q04180,do you want to see pictures of uranus from nasa
Q04181,do you want facts on other planets as well
Q04182,do you want to see the planet uranus
Q04183,are you interested in seeing facts on uranus
Q04184,do you want to see the inside of uranus
Q04185,are you concerned about the pilot light
Q04186,do you want to know where to buy one
Q04187,did you want to see images of a kenmore gas water heater
Q04188,were you needing a kenmore gas water heater pilot assembly
Q04189,would you also like to see a tankless gas water heater
Q04190,are you looking for newborn dogs for adoption
Q04191,are you interested in older dogs for adoption
Q04192,are you interested in companion dogs for adoption
Q04193,what kind of dog breed are you looking for
Q04194,do you want a small dog or a big dog
Q04195,do you want a male or female dog
Q04196,are you interested in the ocean current
Q04197,are you interested in air currents
Q04198,do you want to see pictures of an ocean current
Q04199,are you looking for an electrical current
Q04200,are you looking for movies that are currently playing in theaters
Q04201,are you looking for the capital gains tax rate in the united states
Q04202,are you interested in changes to the capital gains tax rate over time
Q04203,are you looking for capital gains tax rate around the world
Q04204,would you like to see a map of the united states
Q04205,would you like to see state capitals
Q04206,would you like to see us territories
Q04207,do you want to see maps with state names
Q04208,are you looking for maps with roadways
Q04209,are you interested in the physical geography of the us
Q04210,would you like to watch the secret garden movie
Q04211,would you like to read the secret garden book
Q04212,would you like to purchase a secret garden diamond ring
Q04213,do you want to see illustrations from the secret garden
Q04214,are you interested in watching the secret garden film
Q04215,are you looking for the secret garden book
Q04216,are you interested in the land rover defender
Q04217,would you like to learn about vintage land rover defenders
Q04218,do you want to see prince phillip's land rover defender
Q04219,do you want pictures of defender land rovers
Q04220,do you want information regarding the defender personality type
Q04221,were you wanting to see the marvel defenders
Q04222,are you looking for a dnr logo
Q04223,do you want a dnr tattoo
Q04224,did you mean you are shopping for a dnr bracelet
Q04225,are you wanting to see logos for the department of natrual resources
Q04226,are you looking for a dnr order
Q04227,would you like to see a dnr tattoo
Q04228,would you like to see photos of the big teddy bears
Q04229,would you like to see build a bears
Q04230,would you like to see old fashioned teddy bears
Q04231,are you researching holiday themed teddy bears
Q04232,would you like to see some patterned teddy bears
Q04233,would you be interested in viewing some teddy bear sewing patterns
Q04234,are you interested in the medical care beliefs of jehovah's witnesses
Q04235,are you looking for the history of jehova's witnesses and medical care
Q04236,are you looking for doctrine regarding jehova's witnesses and medical treatment
Q04237,do you want to know what type of procedures they refuse
Q04238,do you want to know how they refuse medical care
Q04239,are you interested in bloodless medicine
Q04240,are you wanting to view images of the most expensive home theater systems
Q04241,are you interested in bose home theater systems
Q04242,would you like some ideas on how to design your home theater system
Q04243,do you want to see home theater systems
Q04244,are you interested in luxuries home theater systems
Q04245,are you willing to buy cheap home theater systems
Q04246,are you wanting to see a yellowstone uplift map
Q04247,did you want to see images of the uplift observed at yellowstone national park
Q04248,did you also want to see images of volcanic uplift in other areas
Q04249,do you want to know what scienctists and officals have to say about uplift at yellowstone national park
Q04250,do you want to plan a visit to yellowstone national park
Q04251,would you like to see images of uplift at yellowstone national park
Q04252,would you like to learn about the mental benefits of yoga
Q04253,are you looking for health benefits
Q04254,do you mean the benefits as compared to conventional excercise
Q04255,do you want to see yoga poses
Q04256,do you want to see benefits for men
Q04257,do you want to see benefits for women
Q04258,are you interested in george bush sr bio about his time in the military
Q04259,are you looking for information about george bush sr's bio as president
Q04260,are you interested in information about george bush sr's family bio
