topic_id,query,facet_id,facet,question_id,question,image1,image2,image3
209,land surveyor,F0453,What education does one need to become a land surveyor?,Q00051,are you curious what a land surveyor does,209_Q00051_0_1.jpg,209_Q00051_0_2.jpg,209_Q00051_0_3.jpg
209,land surveyor,F0454,Which schools provide training to become a land surveyor?,Q00051,are you curious what a land surveyor does,209_Q00051_0_1.jpg,209_Q00051_0_2.jpg,209_Q00051_0_3.jpg
209,land surveyor,F0452,What equipment and tools does a land surveyor use in his job?,Q00051,are you curious what a land surveyor does,209_Q00051_0_1.jpg,209_Q00051_0_2.jpg,209_Q00051_0_3.jpg
209,land surveyor,F0455,What salary range does a land surveyor receive?,Q00051,are you curious what a land surveyor does,209_Q00051_0_1.jpg,209_Q00051_0_2.jpg,209_Q00051_0_3.jpg
209,land surveyor,F0451,Find job openings for land surveyors.,Q00051,are you curious what a land surveyor does,209_Q00051_0_1.jpg,209_Q00051_0_2.jpg,209_Q00051_0_3.jpg
232,hurricane Irene flooding in manville nj,F0533,"How has the flooding that resulted from hurricane Irene affected Manville, NJ?",Q01326,are you seeking the most andor least affected areas of flooding during irene in manville nj,232_Q01326_1_1.jpg,232_Q01326_1_2.jpg,232_Q01326_1_3.jpg
124,bowflex power pro,F0105,Find recall notices for the Bowflex Power Pro.,Q01916,do you want to buy some parts for this equipment,124_Q01916_3_1.jpg,124_Q01916_3_2.jpg,124_Q01916_3_3.jpg
124,bowflex power pro,F0103,Find information about the Bowflex Power Pro.,Q01916,do you want to buy some parts for this equipment,124_Q01916_3_1.jpg,124_Q01916_3_2.jpg,124_Q01916_3_3.jpg
124,bowflex power pro,F0106,Find a retailer from whom I can buy a Bowflex Power Pro.,Q01916,do you want to buy some parts for this equipment,124_Q01916_3_1.jpg,124_Q01916_3_2.jpg,124_Q01916_3_3.jpg
124,bowflex power pro,F0104,Find reviews of the Bowflex Power Pro.,Q01916,do you want to buy some parts for this equipment,124_Q01916_3_1.jpg,124_Q01916_3_2.jpg,124_Q01916_3_3.jpg
88,forearm pain,F1018,Are there good home remedies for elbow pain?,Q00062,are you having forearm pain,88_Q00062_4_1.jpg,88_Q00062_4_2.jpg,88_Q00062_4_3.jpg
88,forearm pain,F1020,Find information about supports and braces for the forearm to prevent injury or lessen pain.,Q00062,are you having forearm pain,88_Q00062_4_1.jpg,88_Q00062_4_2.jpg,88_Q00062_4_3.jpg
88,forearm pain,F1015,What kinds of injuries or conditions can cause forearm pain?,Q00062,are you having forearm pain,88_Q00062_4_1.jpg,88_Q00062_4_2.jpg,88_Q00062_4_3.jpg
88,forearm pain,F1019,Find information about tendinitis in the forearms.,Q00062,are you having forearm pain,88_Q00062_4_1.jpg,88_Q00062_4_2.jpg,88_Q00062_4_3.jpg
88,forearm pain,F1016,Find pages or sites that describe the anatomy of the forearm.,Q00062,are you having forearm pain,88_Q00062_4_1.jpg,88_Q00062_4_2.jpg,88_Q00062_4_3.jpg
88,forearm pain,F1017,What are some exercises recommended for forearm pain?,Q00062,are you having forearm pain,88_Q00062_4_1.jpg,88_Q00062_4_2.jpg,88_Q00062_4_3.jpg
255,teddy bears,F0607,Locate information about teddy bears by Steiff.,Q02806,what is the specific occasion you are looking to buy a teddy bear for,255_Q02806_5_1.jpg,255_Q02806_5_2.jpg,255_Q02806_5_3.jpg
255,teddy bears,F0608,Where can I buy teddy bears wholesale?,Q02806,what is the specific occasion you are looking to buy a teddy bear for,255_Q02806_5_1.jpg,255_Q02806_5_2.jpg,255_Q02806_5_3.jpg
255,teddy bears,F0606,Find giant teddy bears.,Q02806,what is the specific occasion you are looking to buy a teddy bear for,255_Q02806_5_1.jpg,255_Q02806_5_2.jpg,255_Q02806_5_3.jpg
255,teddy bears,F0604,Find information about teddy bear picnics.,Q02806,what is the specific occasion you are looking to buy a teddy bear for,255_Q02806_5_1.jpg,255_Q02806_5_2.jpg,255_Q02806_5_3.jpg
255,teddy bears,F0605,Show me teddy bears made by Gund.,Q02806,what is the specific occasion you are looking to buy a teddy bear for,255_Q02806_5_1.jpg,255_Q02806_5_2.jpg,255_Q02806_5_3.jpg
21,volvo,F0456,I'm looking for Volvo's homepage.,Q01638,do you need information about a volvo dealership,21_Q01638_6_1.jpg,21_Q01638_6_2.jpg,21_Q01638_6_3.jpg
21,volvo,F0459,Find a Volvo dealer.,Q01638,do you need information about a volvo dealership,21_Q01638_6_1.jpg,21_Q01638_6_2.jpg,21_Q01638_6_3.jpg
